no Report #

1








"EDRP-3m_1-18GHz-EMCO-W25-W26-miteq-AFS4x_dBuV-dBm"
C:\EMINI\LIMITS\EN300220-TX.lim
C:\EMINI\LIMITS\EN300220-RX.lim
1
6
0
C:\EMINI\TRANSDUCER\EDRP-EMCO3115-3m-ARCS03.TRS
C:\EMINI\TRANSDUCER\miteq0_1-18Ghz_SN953462.trs
C:\EMINI\TRANSDUCER\dbuV-dbm+2_15dB_( erp-eirp).TRS
36
0,-28.7376867341
10,-28.7465253876
20,-26.9218259858
30,-24.540699582
40,-22.1861845063
50,-20.7304807709
60,-20.4411169099
70,-20.4339567231
80,-20.4123273896
90,-20.2479635285
100,-19.9880796479
110,-19.861843686
120,-20.4167219208
130,-22.303791623
140,-25.0332838105
150,-27.038330655
160,-28.5991445588
170,-32.7953458832
180,-33.8059011506
190,-25.787964444
200,-22.4123769807
210,-20.2685667084
220,-18.6242433594
230,-17.8709608124
240,-17.1197210358
250,-16.0148016022
260,-14.8253618287
270,-14.1062246369
280,-13.4546686219
290,-13.3139215516
300,-13.4876905488
310,-14.4612108277
320,-16.2504602479
330,-18.6569715546
340,-20.3982397126
350,-21.8288847016
360,-24.5606580781
5
FG ,2440.0087,-13.31
LO,868.45,0
2*FG,1736.6,0
3*FG,2604.9,0
4*FG,3473.2,0
5*FG,4341.5,-99
4
10
Vertikal
File-ENDE EIRP Datensatz
